lastUpdated,code,level,created,name,id,offlineLevels,code,lastUpdated,id,level,created,name,shortName,description,contactPerson,path,openingDate,email,address,url,phoneNumber,closedDate,geometry,comment,code,created,lastUpdated,name,id,shortName,symbol,color,geometry
2024-01-16T21:38:18.167,,,,,,5,,,,5,2024-01-16T21:38:18.167,Cell,,,,,,,,,,,,,,,,,XecThT9GQjK,,,,
2024-01-16T21:38:18.064,,,,,,1,,,,1,2024-01-16T21:38:18.064,Central,,,,,,,,,,,,,,,,,xpCJuxmWUpA,,,,
2024-01-16T21:38:18.139,,,,,,3,,,,3,2024-01-16T21:38:18.139,District,,,,,,,,,,,,,,,,,qgXPHkRjkfJ,,,,
2024-01-16T21:38:18.120,,,,,,2,,,,2,2024-01-16T21:38:18.120,Province,,,,,,,,,,,,,,,,,FFq8BttqrYm,,,,
2024-01-16T21:38:18.154,,,,,,4,,,,4,2024-01-16T21:38:18.154,Sector,,,,,,,,,,,,,,,,,bMJYVkd2LPO,,,,
2024-01-16T21:38:18.203,,,,,,6,,,,6,2024-01-16T21:38:18.203,Village,,,,,,,,,,,,,,,,,eOZCU6e7S0U,,,,
2023-12-29T13:57:30.197,,,,,,,,,,6,2023-12-29T13:57:30.134,Abahuje,Abahuje,,,"/NLsvt0iBEyq/UvekxcAnx2W/nPBRRlN2B7U/xlsfd2R5T2e/KzSiwuDiubY/HksXITHzbEZ",2023-01-01T00:00:00.000,,,,,,,,,,,,HksXITHzbEZ,,,,
2023-12-29T14:31:53.023,,,,,,,,,,6,2023-12-29T14:31:52.952,Abakina,Abakina,,,"/NLsvt0iBEyq/qtB5YKGpetQ/FYWwHHg36JQ/qg7m0lQg4dD/OMJU9KvfV7X/beaPuin0W36",2023-01-01T00:00:00.000,,,,,,,,,,,,beaPuin0W36,,,,
2023-12-29T13:20:54.111,,,,,,,,,,6,2023-12-29T13:20:54.087,Abanyangeyo,Abanyangeyo,,,"/NLsvt0iBEyq/I7LUEXlue90/zeO6GcBuYRF/LvusSCE1bUh/xlpVmDTOWl2/XoDsVGzzB2y",2023-01-01T00:00:00.000,,,,,,,,,,,,XoDsVGzzB2y,,,,
2023-12-29T13:20:26.357,,,,,,,,,,6,2023-12-29T13:20:26.332,Abatangampundu,Abatangampundu,,,"/NLsvt0iBEyq/I7LUEXlue90/zeO6GcBuYRF/XSPxg1oNFbg/YHPxgyI2NmT/pIxv3T3m5WS",2023-01-01T00:00:00.000,,,,,,,,,,,,pIxv3T3m5WS,,,,
2023-12-29T13:16:07.087,,,,,,,,,,6,2023-12-29T13:16:07.064,Abatarushwa,Abatarushwa,,,"/NLsvt0iBEyq/I7LUEXlue90/S19LIxV9TlT/YE1UgQUKFzh/ttpaAVAUYsh/JzePnIcYJC4",2023-01-01T00:00:00.000,,,,,,,,,,,,JzePnIcYJC4,,,,
2023-12-29T13:18:46.726,,,,,,,,,,6,2023-12-29T13:18:46.712,Abatuje,Abatuje,,,"/NLsvt0iBEyq/I7LUEXlue90/zeO6GcBuYRF/zmLzTr5ZBMS/eJE7vtm8MXB/makE0jLHJZ4",2023-01-01T00:00:00.000,,,,,,,,,,,,makE0jLHJZ4,,,,
2023-12-29T14:44:40.497,,,,,,,,,,6,2023-12-29T14:44:40.440,"Abemeye Amahoro","Abemeye Amahoro",,,"/NLsvt0iBEyq/I7LUEXlue90/zeO6GcBuYRF/LvusSCE1bUh/Tlfd89RE0y9/cSBOWFUC419",2023-01-01T00:00:00.000,,,,,,,,,,,,cSBOWFUC419,,,,
2023-12-29T13:14:36.750,,,,,,,,,,6,2023-12-29T13:14:36.732,Abeza,Abeza,,,"/NLsvt0iBEyq/I7LUEXlue90/S19LIxV9TlT/k03ln15PN0Q/AbbsFG9vJHX/OHDeGEeuOAu",2023-01-01T00:00:00.000,,,,,,,,,,,,OHDeGEeuOAu,,,,
2023-12-29T14:44:41.320,,,,,,,,,,6,2023-12-29T14:44:41.263,Abisunganye,Abisunganye,,,"/NLsvt0iBEyq/I7LUEXlue90/zeO6GcBuYRF/LvusSCE1bUh/Tlfd89RE0y9/YN2pIRdJyaA",2023-01-01T00:00:00.000,,,,,,,,,,,,YN2pIRdJyaA,,,,
